"key","RU","EN"
"enter_last_name","Введите вашу фамилию","Enter your last name"
"please_enter_email","Пожалуйста, введите вашу электронную почту","Please enter your email"
"please_enter_valid_email","Пожалуйста, введите действительную электронную почту","Please enter a valid email"
"enter_email","Введите вашу электронную почту","Enter your email"
"please_enter_phone","Пожалуйста, введите ваш телефон","Please enter your phone"
"please_enter_valid_phone","Пожалуйста, введите действительный телефон","Please enter a valid phone"
"enter_phone","Введите ваш телефон","Enter your phone"
"please_enter_your_business_name","Пожалуйста, введите название вашего бизнеса","Please enter your business name"
"enter_your_business_name","Введите название вашего бизнеса","Enter your business name"
"first_name_empty","Имя не может быть пустым","First name cannot be empty"
"last_name_empty","Фамилия не может быть пустой","Last name cannot be empty"
"email_empty","Электронная почта не может быть пустой","Email cannot be empty"
"phone_empty","Телефон не может быть пустым","Phone cannot be empty"
"business_name_empty","Название компании не может быть пустым","Business name cannot be empty"
"email_invalid","Неверный формат электронной почты","Invalid email format"
"phone_invalid","Неверный формат телефона","Invalid phone format"
"application_submitted","Ваша заявка отправлена","Your application has been submitted"
"internal_server_error","Внутренняя ошибка сервера","Internal server error"
