"key","RU","EN"
"please_enter_name","Пожалуйста, введите название","Please, enter name"
"enter_name","Введите название","Enter name"
"please_enter_desc","Пожалуйста, введите описание","Please, enter description"
"please_select_status","Пожалуйста, выберите статус","Please, select status"
"please_enter_price","Пожалуйста, введите цену","Please, enter price"
"please_enter_quantity","Пожалуйста, введите количество","Please, enter quantity"
"sections","Секции","Sections"
"categories","Категории","Categories"
"category_successfully_added","Категория успешно добавлена","Category successfully added"
"category_successfully_edited","Категория успешно отредактирована","Category successfully edited"
"category_successfully_recovered","Категория успешно восстановлена","Category successfully recovered"
"category_successfully_deleted","Категория успешно удалена","Category successfully deleted"
"section_successfully_added","Секция успешно добавлена","Section successfully added"
"section_successfully_edited","Секция успешно отредактирована","Section successfully edited"
"section_successfully_recovered","Секция успешно восстановлена","Section successfully recovered"
"section_successfully_deleted","Секция успешно удалена","Section successfully deleted"
"catalog_successfully_edited","Каталог успешно отредактирован","Catalog successfully edited"
"catalog_successfully_published","Каталог успешно опубликован","Catalog successfully published"
"search_section_by_id_or_name","Поиск секции по ID или названию","Search section by ID or name"
"add_section","Добавить секцию","Add section"
"deleted_sections","Удаленные секции","Deleted sections"
"search_category_by_id_or_name","Поиск категории по ID или названию","Search category by ID or name"
"add_category","Добавить категорию","Add category"
"deleted_categories","Удаленные категории","Deleted categories"
"version","Версия","Version"
"image","Изображение","Image"
"new_order","Новый заказ","New order"
"order_details","Детали заказа","Order details"
"new_section","Новая секция","New section"
"section_details","Детали секции","Section details"
"new_category","Новая категория","New category"
"category_details","Детали категории","Category details"
"catalog_order","Порядок каталога","Catalog order"
"add_section_to_catalog","Добавить секцию в каталог","Add section to catalog"
"add_category_to_catalog","Добавить категорию в каталог","Add category to catalog"
"add_product_to_catalog","Добавить продукт в каталог","Add product to catalog"
"select_section","Выберите секцию","Select section"
"select_category","Выберите категорию","Select category"
"select_product","Выберите продукт","Select product"
"please_select_section","Пожалуйста, выберите секцию","Please, select section"
"please_select_category","Пожалуйста, выберите категорию","Please, select category"
"please_select_product","Пожалуйста, выберите продукт","Please, select product"
"are_you_sure_that_you_want_to_delete_section_from_catalog","Вы уверены, что хотите удалить секцию из каталога?","Are you sure that you want to delete section from catalog?"
"are_you_sure_that_you_want_to_delete_category_from_catalog","Вы уверены, что хотите удалить категорию из каталога?","Are you sure that you want to delete category from catalog?"
"are_you_sure_that_you_want_to_delete_product_from_catalog","Вы уверены, что хотите удалить продукт из каталога?","Are you sure that you want to delete product from catalog?"
"ok","Ок","Ok"
"cancel","Отмена","Cancel"
"promo","Промо","Promo"
"publish_catalog","Опубликовать каталог","Publish catalog"
"are_you_sure_that_you_want_to_publish_catalog","Вы уверены, что хотите опубликовать каталог?","Are you sure that you want to publish catalog?"
"last_time_published","Последний раз опубликован","Last time published"
"slides","Слайды","Slides"
"new_slide","Новый слайд","New slide"
"slide_details","Детали слайда","Slide details"
"slide_successfully_added","Слайд успешно добавлен","Slide successfully added"
"slide_successfully_edited","Слайд успешно отредактирован","Slide successfully edited"
"slide_successfully_recovered","Слайд успешно восстановлен","Slide successfully recovered"
"slide_successfully_deleted","Слайд успешно удален","Slide successfully deleted"
"search_slide_by_id_or_name","Поиск слайда по ID или названию","Search slide by ID or name"
"add_slide","Добавить слайд","Add slide"
"save_catalog","Сохранить каталог","Save catalog"
"add_section_to_promo","Добавить секцию в промо","Add section to promo"
"add_category_to_promo","Добавить категорию в промо","Add category to promo"
"add_product_to_promo","Добавить продукт в промо","Add product to promo"
"promo_section","Промо секция","Promo section"
"save_promo","Сохранить промо","Save promo"
"original_price","Оригинальная цена","Original price"
"tags","Теги","Tags"
"enter_tags","Введите теги","Enter tags"
"unit","Единица измерения","Unit"
"please_select_unit","Пожалуйста, выберите единицу измерения","Please, select unit"
"moq","Минимальное количество заказа","Minimum order quantity (MOQ)"
"please_enter_moq","Пожалуйста, введите минимальное количество заказа","Please, enter minimum order quantity"
"cut_off_time","Время отсечки","Cut off time"
"please_select_cut_off_time","Пожалуйста, выберите время отсечки","Please, select cut off time"
"slide_image_successfully_uploaded","Изображение слайда успешно загружено","Slide image successfully uploaded"
"section_image_successfully_uploaded","Изображение секции успешно загружено","Section image successfully uploaded"
"category_image_successfully_uploaded","Изображение категории успешно загружено","Category image successfully uploaded"
"product_image_successfully_uploaded","Изображение продукта успешно загружено","Product image successfully uploaded"
"upload_image","Загрузить изображение","Upload image"
"total_price","Общая цена","Total price"
"order_number","Номер заказа","Order number"
"search_order_by_id_or_order_number","Поиск заказа по ID или номеру заказа","Search order by ID or order number"
"add_order","Добавить заказ","Add order"
"deleted_orders","Удаленные заказы","Deleted orders"
"code","Код","Code"
"please_enter_address","Пожалуйста, введите адрес","Please, enter address"
"floor","Этаж","Floor"
"please_enter_floor","Пожалуйста, введите этаж","Please, enter floor"
"enter_floor","Введите этаж","Enter floor"
"apartment","Квартира","Apartment"
"please_enter_apartment","Пожалуйста, введите квартиру","Please, enter apartment"
"enter_apartment","Введите квартиру","Enter apartment"
"delivery_comment","Комментарий к доставке","Delivery comment"
"enter_delivery_comment","Введите комментарий к доставке","Enter delivery comment"
"select_country_code","Выберите код страны","Select country code"
"phone_invalid_format","Неверный формат телефона","Invalid phone format"
"current_delivery_point","Текущая точка доставки","Current delivery point"
"no_delivery_point","Нет точки доставки","No delivery point"
"delivery_points","Точки доставки","Delivery points"
"total","Итого","Total"
"order_successfully_added","Заказ успешно добавлен","Order successfully added"
"order_status_successfully_edited","Статус заказа успешно отредактирован","Order status successfully edited"
"order_successfully_recovered","Заказ успешно восстановлен","Order successfully recovered"
"order_successfully_deleted","Заказ успешно удален","Order successfully deleted"
"customer_name","Имя клиента","Customer name"
"please_enter_customer_name","Пожалуйста, введите имя клиента","Please, enter customer name"
"enter_customer_name","Введите имя клиента","Enter customer name"
"please_select_client","Пожалуйста, выберите клиента","Please, select client"
"select_client","Выберите клиента","Select client"
"client_data","Данные клиента","Client data"
"please_select_products","Пожалуйста, выберите продукты","Please, select products"
"selected_products","Выбранные продукты","Selected products"
"select_from_top_table_to_the_bottom_table","Выберите из верхней таблицы в нижнюю","Select from top table to the bottom table"
"user_id","ID пользователя","User ID"
"total_products_quantity","Общее количество продуктов","Total products quantity"
"next_statuses","Следующие статусы","Next statuses"
"order_products","Продукты заказа","Order products"
"moq_fee_successfully_updated","Сбор за минимальное количество заказа успешно обновлен","MOQ fee successfully updated"
"order_settings","Настройки заказа","Order settings"
"moq_fee","Сбор за минимальное количество заказа","MOQ fee"
"please_enter_moq_fee","Пожалуйста, введите сбор за минимальное количество заказа","Please, enter MOQ fee"
"moq_minimum_price","Минимальная цена заказа","MOQ minimum price"
"please_enter_moq_minimum_price","Пожалуйста, введите минимальную цену заказа","Please, enter MOQ minimum price"
"please_upload_image","Пожалуйста, загрузите изображение","Please, upload image"
"please_fix_catalog_errors","Пожалуйста, исправьте ошибки каталога","Please, fix catalog errors"
"hello","Привет","Hello"
"my_name_is","Меня зовут","My name is"
"from_the_ardo_group_ltd","от Ardo Group Ltd.","from Ardo Group Ltd."
"i_am_writing_to_you_about_the_order","Я пишу вам о заказе","I am writing to you about the order"
"made_on","сделанном","made on"
"ordered_products","Заказанные продукты","Ordered products"
"move_to_whatsapp","Перейти в WhatsApp","Move to WhatsApp"
"message_from","Сообщение от","Message from"
