"key","RU","EN","ZH"
"profitability_description","Увеличьте свою ликвидность, продав своим владельцам магазинов и избежав дополнительных затрат на утилизацию или хранение. Сократите ежемесячные расходы в среднем на 12 %.","Increase your liquidity by selling its shopkeepers and avoiding additional disposal or storage costs. Reduce your monthly costs by 12% on average.","通過向餐飲業者出售過剩食材，避免額外的廢物處理及倉儲成本，平均每月營運成本降低12%，提高您的流動性。"
"data_proven_pricing_strategies","Доказанные стратегии ценообразования","Data-proven pricing strategies","數據證明的價格策略"
"data_proven_pricing_strategies_description","Наши алгоритмы искусственного интеллекта автоматически генерируют лучшие цены на ваши товары, представленные на распродаже. Вы просто загружаете товары, а мы позаботимся обо всем остальном!","Our AI algorithms automatically generates the best prices for your on-sale items. You simply upload the items, we take care of the rest!","我們的 AI 算法會自動為您的特價商品生成最佳價格。您只需上傳商品，我們便會處理其餘事宜以最大化利潤！"
"risk_free_payment_guarantee","Гарантия безопасной оплаты","Risk-free payment guarantee","零風險付款保證"
"risk_free_payment_guarantee_description","Получайте счета, оплаченные до отгрузки. Хватит гоняться за своими платежами! Ноль хлопот, нулевой риск с ARDO","Receive invoices settled prior to shipment. Stop chasing your payments! Zero Hassle, Zero Risk with ARDO","在出貨之前先收妥貨款。不用人手追催餐廳付款！ARDO 為您提供零麻煩、零風險的解決方案"
"grow_your_customer_base","Расширьте свою клиентскую базу","Grow your customer base","擴大您的客戶群"
"grow_your_customer_base__description","Тратьте меньше времени на продвижение своего продукта, генерируйте бесплатных потенциальных клиентов, сокращайте время обработки заказов и открывайте двери десятков ресторанов в ARDO.","Spend less time promoting your product, generate free leads, reduce order-processing time, and open your doors to dozens of restaurants at ARDO","花更少的時間推廣產品，接觸免費的潛在客戶，減少訂單處理時間，並在ARDO平台上向香港14000家餐廳敞開大門"
"reduce_your_food_costs","Снизьте свои затраты на продукты","Reduce your food costs","降低您的食品成本"
"reduce_your_food_costs_description","Экономьте до 50% на товарах со скидкой в ARDO. Наши алгоритмы искусственного интеллекта каждый день предоставляют вам лучшие цены!","Save up to 50% on discounted items from ARDO. Our AI algorithms deliver the best prices to you every day!","從ARDO購買的特價過剩食材可節省高達50％食材食本。我們的AI算法每天為您提供最佳價格！"
"grow_your_suppliers_network","Расширьте свою сеть поставщиков","Grow your suppliers network","擴大您的供應商網絡"
"grow_your_suppliers_network_description","Пробное и налаживание контактов с ведущими поставщиками продуктов питания в Гонконге. Будьте первым, кто попробует товары по низкой цене.","Trial & bridge contact with top food suppliers in HK. Be the first one to try products at low cost.","藉折扣食材採購與頂尖食品供應商搭建聯繫，試用各式食材"
"cashflow_and_rebate","Поток денежных средств и вознаграждение","Cashflow & Rebate","現金流和回扣"
"cashflow_and_rebate_description","Различные варианты оплаты, включая кредитную карту, FPS, Alipay. Увеличьте денежный поток вашего ресторана! Получайте скидки и баллы лояльности при каждой покупке!","Variety of payment options including credit card, FPS, Alipay. Boost your restaurant cashflow! Earn rebates & loyalty credits with every purchase!","提供多種付款方式，包括信用卡、FPS（轉數快）、支付寶等。提高餐廳的現金流！每次購買都可獲得回贈！"
"save_time","Экономьте время","Save time","節省時間"
"save_time_description","Все, что вам нужно, всего за 3 нажатия! Тратьте в 2,4 раза меньше времени на управление цепочками поставок и перенаправляйте персонал на более важные задачи!","Whatever you need in just 3 taps! Spend 2.4 times less time on supply chain management and redirect the manpower for more important duties!","只需3個點擊就能獲得您所需的一切！在供應鏈管理上節省2.4倍的時間，將人力資源重新分配到更重要的職責上！"
"anytime_anywhere","В любое время и в любом месте","Anytime. Anywhere.","隨時隨地"
"anytime_anywhere_description","Больше контроля, меньше борьбы для вас! Легко отслеживайте свой заказ в нашем приложении, получайте квитанции, получайте уведомления по SMS и электронной почте, проверяйте время доставки и статус заказа.","More control, less struggles for you! Easily track your order in our App, collect the receipt, receive notifications through SMS and email, check delivery time and order status.","更多控制，更少困擾！在我們的應用程式中輕鬆追蹤您的訂單，收集收據，通過短信和電子郵件接收通知，查看交貨時間和訂單狀態"
"customer_support","Поддержка клиентов","Customer support","客戶支援"
"customer_support_description","Мы всегда рядом с вами! Наши специалисты ответят на все Ваши вопросы. Быстрые возвраты средств, бесплатные скидки и многое другое...","We are always there for you! Our specialists will take care of all the questions you might have. Quick refunds, complimentary discounts, and more...","我們一直在這裡為您服務！我們的專家將為您解答所有可能的問題。快速退款，免費折扣等等..."
"step_by_step_guide","Пошаговое руководство","Step-by-step guide","逐步指南"
"fill_the_form","Заполните форму","Fill the form","填寫表格"
"start_ordering","Начать заказывать","Start ordering","開始訂購"
"step_1_fill","Шаг 1: Заполните","Step 1: Fill","第一步：填寫"
"step_1_fill_description","Заполните короткую форму о вас и вашей организации","Fill short form about you and your organization","請填寫關於您和您的組織的簡短表格"
"step_2_upload","Шаг 2: Загрузите","Step 2: Upload","第二步：上傳"
"step_2_upload_description","Загрузите свои товары и предложения на платформу","Upload your items and offers to the platform","請上傳您的剩餘物品"
"step_1_pick","Шаг 1: Выберите","Step 1: Pick","第一步：選擇"
"step_1_pick_description","Выберите товары и добавьте их в корзину","Pick items and add them to the cart","選擇您喜歡的食材"
"step_2_confirm","Шаг 2: Подтвердите","Step 2: Confirm","第二步：確認"
"step_2_confirm_description","Подтвердите заказ и выберите способ оплаты","Confirm the order and choose the payment method","確認訂單"
"step_3_receive","Шаг 3: Получите","Step 3: Receive","第三步：接收"
"step_3_receive_description_suppliers","Начните получать заказы с нашей платформы","Start receiving orders from our platform","接收訂單及款項！"
"step_3_receive_description_restaurants","Получите заказ без лишних хлопот","Receive the order without any hassle","供應商會在緊接車期送出訂單"
"contact_us","Связаться с нами","Contact us","請與我們聯繫"
"all_rights_reserved","Все права защищены","All rights reserved","版权所有"
"email","Электронная почта","Email","电子邮件"
"phone","Телефон","Phone","电话"
"fill_form","Заполните форму","Fill the form","填表格"
"submit","Отправить","Submit","提交"
"cancel","Отмена","Cancel","取消"
"first_name","Имя","First name","名"
"last_name","Фамилия","Last name","姓"
"business_name","Название компании","Business name","企业名称"
"please_enter_first_name","Пожалуйста, введите ваше имя","Please enter your first name","请输入您的名字"
"enter_first_name","Введите ваше имя","Enter your first name","输入您的名字"
"please_enter_last_name","Пожалуйста, введите вашу фамилию","Please enter your last name","请输入您的姓氏"
"enter_last_name","Введите вашу фамилию","Enter your last name","输入您的姓氏"
"please_enter_email","Пожалуйста, введите вашу электронную почту","Please enter your email","请输入您的电子邮件"
"please_enter_valid_email","Пожалуйста, введите действительную электронную почту","Please enter a valid email","请输入有效电子邮件"
"enter_email","Введите вашу электронную почту","Enter your email","输入你的电子邮箱"
"please_enter_phone","Пожалуйста, введите ваш телефон","Please enter your phone","请输入您的电话"
"please_enter_valid_phone","Пожалуйста, введите действительный телефон","Please enter a valid phone","请输入有效电话号码"
"enter_phone","Введите ваш телефон","Enter your phone","输入您的电话"
"please_enter_your_business_name","Пожалуйста, введите название вашего бизнеса","Please enter your business name","请输入您的公司名称"
"enter_your_business_name","Введите название вашего бизнеса","Enter your business name","输入您的公司名称"
"first_name_empty","Имя не может быть пустым","First name cannot be empty","名字不能为空"
"last_name_empty","Фамилия не может быть пустой","Last name cannot be empty","姓氏不能为空"
"email_empty","Электронная почта не может быть пустой","Email cannot be empty","邮箱不能为空"
"phone_empty","Телефон не может быть пустым","Phone cannot be empty","电话不能为空"
"business_name_empty","Название компании не может быть пустым","Business name cannot be empty","企业名称不能为空"
"email_invalid","Неверный формат электронной почты","Invalid email format","电子邮件格式无效"
"phone_invalid","Неверный формат телефона","Invalid phone format","电话格式无效"
"application_submitted","Ваша заявка отправлена","Your application has been submitted","您的申请已提交"
"internal_server_error","Внутренняя ошибка сервера","Internal server error","内部服务器错误"
"form_submitted_successfully","Форма успешно отправлена","Form submitted successfully","表格提交成功"
"form_submitted_successfully_description","Спасибо за вашу заявку. Наша команда свяжется с вами в ближайшее время","Thank you for your application. Our team will contact you shortly","感谢您的申请。我们的团队将尽快与您联系"
"error_submitting_form","Ошибка отправки формы","Error submitting form","提交表单时出错"
"error_submitting_form_description","Пожалуйста, попробуйте еще раз позже","Please try again later","请稍后再试"
"faq","Часто задаваемые вопросы","FAQ","常見問題"
"terms_of_use","Условия использования","Terms of use","使用條款"
"terms_and_conditions","Условия и положения","Terms and conditions","條款和條件"
